年份,全國貸款負擔率,新北市貸款負擔率,全國房價所得比,新北市房價所得比,全國總生育率,新北市總生育率
91,23.03,32.71,4.33,6.15,1340,1170
92,21.06,30.72,4.48,6.54,1235,1080
93,20.85,30.71,4.72,6.95,1180,1045
94,22.37,32.38,5.12,7.41,1115,990
95,22.46,33.79,5.16,7.76,1115,1005
96,24.05,34.22,5.43,7.72,1100,995
97,27.81,35.06,6.09,7.67,1050,970
98,26.95,34.68,6.47,8.32,1030,960
99,28.78,37.08,6.98,8.99,895,815
100,30.51,41.4,7.3,9.9,1065,1035
101,32.33,46.57,7.69,11.07,1270,1265
102,36.59,53.46,8.66,12.65,1065,1060
103,34.58,53.79,8.16,12.7,1165,1185
104,36.05,53.95,8.55,12.79,1175,1130
105,37.33,51.99,9.03,12.56,1170,1095
106,38.09,51.76,9.27,12.6,1125,1050
107,36.36,50.24,8.87,12.25,1060,975
108,35.37,48.44,8.63,11.82,1050,965
109,35.88,47.74,8.92,11.87,990,890
